"Period","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"02/01/1990","Imports","Michigan","Ontario","1208734.1000","40655950.3700","33.64"
"02/01/1990","Imports","Michigan","Total","1208734.1000","40655950.3700","33.64"
"02/01/1990","Imports","Minnesota","Manitoba","160502.0000","2612160.2600","16.27"
"02/01/1990","Imports","Minnesota","Ontario","15574.0000","495141.5600","31.79"
"02/01/1990","Imports","Minnesota","Total","176076.0000","3107301.8200","17.65"
"02/01/1990","Imports","Montana","British Columbia","8.0000","510.9100","63.86"
"02/01/1990","Imports","Montana","Total","8.0000","510.9100","63.86"
"02/01/1990","Imports","New England-ISO","Québec","38999.0000","1857646.7000","47.63"
"02/01/1990","Imports","New England-ISO","Total","38999.0000","1857646.7000","47.63"
"02/01/1990","Imports","New York","Ontario","21091.0000","2288431.5500","108.50"
"02/01/1990","Imports","New York","Québec","217777.0000","12903912.0100","59.25"
"02/01/1990","Imports","New York","Total","238868.0000","15192343.5600","63.60"
"02/01/1990","Imports","North Dakota","Manitoba","52797.0000","866103.2400","16.40"
"02/01/1990","Imports","North Dakota","Saskatchewan","2063.0000","168826.6600","81.84"
"02/01/1990","Imports","North Dakota","Total","54860.0000","1034929.9000","18.86"
"02/01/1990","Imports","Total","Alberta","257.0000","11365.8200","44.22"
"02/01/1990","Imports","Total","British Columbia","608.0000","15944.2900","26.22"
"02/01/1990","Imports","Total","Manitoba","213299.0000","3478263.5000","16.31"
"02/01/1990","Imports","Total","New Brunswick","540.8000","26994.9800","49.92"
"02/01/1990","Imports","Total","Ontario","1245399.1000","43439523.4800","34.88"
"02/01/1990","Imports","Total","Québec","257009.0000","14772710.0900","57.48"
"02/01/1990","Imports","Total","Saskatchewan","2063.0000","168826.6600","81.84"
"02/01/1990","Imports","Total","Total","1719175.9000","61913628.8200","36.01"
"02/01/1990","Imports","Vermont","Québec","233.0000","11151.3800","47.86"
"02/01/1990","Imports","Vermont","Total","233.0000","11151.3800","47.86"
"02/01/1990","Imports","Washington","Alberta","257.0000","11365.8200","44.22"
"02/01/1990","Imports","Washington","British Columbia","600.0000","15433.3800","25.72"
"02/01/1990","Imports","Washington","Total","857.0000","26799.2000","31.27"
"03/01/1990","Exports","British Columbia","Alaska","75.1200","4338.0000","57.75"
"03/01/1990","Exports","British Columbia","California","320.0000","7862.0000","24.57"
"03/01/1990","Exports","British Columbia","Oregon","44960.0000","774032.9700","17.22"
"03/01/1990","Exports","British Columbia","Total","46862.3200","851026.9700","18.16"
"03/01/1990","Exports","British Columbia","Washington","1507.2000","64794.0000","42.99"
"03/01/1990","Exports","Manitoba","Minnesota","52654.2730","1242453.8100","23.60"
"03/01/1990","Exports","Manitoba","North Dakota","11520.0000","268282.2500","23.29"
"03/01/1990","Exports","Manitoba","Total","64174.2730","1510736.0600","23.54"
"03/01/1990","Exports","New Brunswick","Maine","165981.6000","6557354.9300","38.99"
"03/01/1990","Exports","New Brunswick","Massachusetts","144981.0000","7806700.0000","53.85"
"03/01/1990","Exports","New Brunswick","Total","310962.6000","14364054.9300","45.92"
"03/01/1990","Exports","Ontario","Michigan","133.7800","0.0000","0.00"
"03/01/1990","Exports","Ontario","New York","7749.4240","284461.2700","36.71"
"03/01/1990","Exports","Ontario","Total","21113.2040","1060747.7600","33.30"
"03/01/1990","Exports","Ontario","Vermont","13230.0000","776286.4900","31.65"
"03/01/1990","Exports","Québec","New York","15818.0000","559575.5200","35.38"
"03/01/1990","Exports","Québec","Total","167459.0000","7067526.4900","39.70"
"03/01/1990","Exports","Québec","Vermont","151641.0000","6507950.9700","40.15"
"03/01/1990","Exports","Total","Alaska","75.1200","4338.0000","57.75"
"03/01/1990","Exports","Total","California","320.0000","7862.0000","24.57"
"03/01/1990","Exports","Total","Maine","165981.6000","6557354.9300","38.99"
"03/01/1990","Exports","Total","Massachusetts","144981.0000","7806700.0000","53.85"
"03/01/1990","Exports","Total","Michigan","133.7800","0.0000","0.00"
"03/01/1990","Exports","Total","Minnesota","52654.2730","1242453.8100","23.60"
"03/01/1990","Exports","Total","New York","23567.4240","844036.7900","35.81"
"03/01/1990","Exports","Total","North Dakota","11520.0000","268282.2500","23.29"
"03/01/1990","Exports","Total","Oregon","44960.0000","774032.9700","17.22"
"03/01/1990","Exports","Total","Total","610571.3970","24854092.2100","39.30"
"03/01/1990","Exports","Total","Vermont","164871.0000","7284237.4600","39.47"
"03/01/1990","Exports","Total","Washington","1507.2000","64794.0000","42.99"
"03/01/1990","Imports","Maine","New Brunswick","8801.2000","222144.2900","25.24"
"03/01/1990","Imports","Maine","Total","8801.2000","222144.2900","25.24"
"03/01/1990","Imports","Michigan","Ontario","1271281.7000","42192572.1600","33.19"
"03/01/1990","Imports","Michigan","Total","1271281.7000","42192572.1600","33.19"
"03/01/1990","Imports","Minnesota","Manitoba","171976.0000","2605528.1400","15.15"
"03/01/1990","Imports","Minnesota","Ontario","16492.0000","563799.1100","34.19"
"03/01/1990","Imports","Minnesota","Total","188468.0000","3169327.2500","16.82"
"03/01/1990","Imports","Montana","British Columbia","8.0000","475.4600","59.43"
"03/01/1990","Imports","Montana","Total","8.0000","475.4600","59.43"
"03/01/1990","Imports","New England-ISO","Québec","19905.0000","802081.9800","40.30"
"03/01/1990","Imports","New England-ISO","Total","19905.0000","802081.9800","40.30"
"03/01/1990","Imports","New York","Ontario","2728.0000","398375.3100","146.03"
"03/01/1990","Imports","New York","Québec","315904.0000","16298854.3700","51.59"
"03/01/1990","Imports","New York","Total","318632.0000","16697229.6800","52.40"
"03/01/1990","Imports","North Dakota","Manitoba","32641.0000","456728.6800","13.99"
"03/01/1990","Imports","North Dakota","Saskatchewan","1875.0000","155555.0000","82.96"
"03/01/1990","Imports","North Dakota","Total","34516.0000","612283.6800","17.74"
"03/01/1990","Imports","Total","Alberta","202.0000","8985.5600","44.48"
"03/01/1990","Imports","Total","British Columbia","41.0000","1275.4600","31.11"
"03/01/1990","Imports","Total","Manitoba","204617.0000","3062256.8200","14.97"
"03/01/1990","Imports","Total","New Brunswick","8801.2000","222144.2900","25.24"
"03/01/1990","Imports","Total","Ontario","1290501.7000","43154746.5800","33.44"
"03/01/1990","Imports","Total","Québec","336428.0000","17130148.2000","50.92"
"03/01/1990","Imports","Total","Saskatchewan","1875.0000","155555.0000","82.96"
"03/01/1990","Imports","Total","Total","1842465.9000","63735111.9100","34.59"
"03/01/1990","Imports","Vermont","Québec","619.0000","29211.8500","47.19"
"03/01/1990","Imports","Vermont","Total","619.0000","29211.8500","47.19"
"03/01/1990","Imports","Washington","Alberta","202.0000","8985.5600","44.48"
"03/01/1990","Imports","Washington","British Columbia","33.0000","800.0000","24.24"
"03/01/1990","Imports","Washington","Total","235.0000","9785.5600","41.64"
"04/01/1990","Exports","British Columbia","Alaska","62.1600","4383.0000","70.51"
"04/01/1990","Exports","British Columbia","California","6015.7350","119106.7300","19.80"
"04/01/1990","Exports","British Columbia","Idaho","13725.0000","235539.8700","17.16"
"04/01/1990","Exports","British Columbia","Nevada","710.0000","12612.9500","17.76"
"04/01/1990","Exports","British Columbia","Oregon","87270.0000","1639927.5500","18.79"
"04/01/1990","Exports","British Columbia","Total","109028.2030","2066492.7900","18.95"
"04/01/1990","Exports","British Columbia","Washington","1245.3080","54922.6900","44.10"
"04/01/1990","Exports","Manitoba","Minnesota","45783.4100","1093705.1200","23.89"
"04/01/1990","Exports","Manitoba","North Dakota","17966.0000","421021.5200","23.43"
"04/01/1990","Exports","Manitoba","Total","63749.4100","1514726.6400","23.76"
"04/01/1990","Exports","New Brunswick","Maine","248596.7800","8816746.3100","35.12"
"04/01/1990","Exports","New Brunswick","Massachusetts","121058.0000","8896552.0000","73.49"
"04/01/1990","Exports","New Brunswick","Total","369654.7800","17713298.3100","47.69"
"04/01/1990","Exports","Ontario","Michigan","122.1800","0.0000","0.00"
"04/01/1990","Exports","Ontario","Minnesota","16.0000","782.0000","48.88"
"04/01/1990","Exports","Ontario","New York","15895.9230","495643.5600","30.72"
"04/01/1990","Exports","Ontario","Total","31028.1030","1389385.3600","34.20"
"04/01/1990","Exports","Ontario","Vermont","14994.0000","892959.8000","38.15"
"04/01/1990","Exports","Québec","New York","173421.0000","7096941.7800","32.86"
"04/01/1990","Exports","Québec","Total","324130.0000","13270635.6400","35.50"
"04/01/1990","Exports","Québec","Vermont","150709.0000","6173693.8600","38.54"
"04/01/1990","Exports","Saskatchewan","North Dakota","5050.0000","77384.8000","15.32"
"04/01/1990","Exports","Saskatchewan","Total","5050.0000","77384.8000","15.32"
"04/01/1990","Exports","Total","Alaska","62.1600","4383.0000","70.51"
"04/01/1990","Exports","Total","California","6015.7350","119106.7300","19.80"
"04/01/1990","Exports","Total","Idaho","13725.0000","235539.8700","17.16"
"04/01/1990","Exports","Total","Maine","248596.7800","8816746.3100","35.12"
"04/01/1990","Exports","Total","Massachusetts","121058.0000","8896552.0000","73.49"
"04/01/1990","Exports","Total","Michigan","122.1800","0.0000","0.00"
"04/01/1990","Exports","Total","Minnesota","45799.4100","1094487.1200","23.90"
"04/01/1990","Exports","Total","Nevada","710.0000","12612.9500","17.76"
"04/01/1990","Exports","Total","New York","189316.9230","7592585.3400","32.68"
"04/01/1990","Exports","Total","North Dakota","23016.0000","498406.3200","21.65"
"04/01/1990","Exports","Total","Oregon","87270.0000","1639927.5500","18.79"
"04/01/1990","Exports","Total","Total","902640.4960","36031923.5400","37.51"
"04/01/1990","Exports","Total","Vermont","165703.0000","7066653.6600","38.51"
"04/01/1990","Exports","Total","Washington","1245.3080","54922.6900","44.10"
"04/01/1990","Imports","Maine","New Brunswick","1861.6000","105771.8200","56.82"
"04/01/1990","Imports","Maine","Total","1861.6000","105771.8200","56.82"
"04/01/1990","Imports","Michigan","Ontario","1033322.1000","32807642.3300","31.75"
"04/01/1990","Imports","Michigan","Total","1033322.1000","32807642.3300","31.75"
"04/01/1990","Imports","Minnesota","Manitoba","103489.0000","1337101.4800","12.92"
"04/01/1990","Imports","Minnesota","Ontario","13979.0000","485586.2400","34.74"
"04/01/1990","Imports","Minnesota","Total","117468.0000","1822687.7200","15.52"
"04/01/1990","Imports","Montana","British Columbia","7.0000","441.1100","63.02"
"04/01/1990","Imports","Montana","Total","7.0000","441.1100","63.02"
"04/01/1990","Imports","New England-ISO","Québec","2552.0000","90435.0300","35.44"
"04/01/1990","Imports","New England-ISO","Total","2552.0000","90435.0300","35.44"
"04/01/1990","Imports","New York","Ontario","11669.0000","478365.8700","40.99"
"04/01/1990","Imports","New York","Québec","269180.0000","10622521.2000","39.46"
"04/01/1990","Imports","New York","Total","280849.0000","11100887.0700","39.53"
"04/01/1990","Imports","North Dakota","Manitoba","32870.0000","455006.9200","13.84"
"04/01/1990","Imports","North Dakota","Saskatchewan","250.0000","150000.0000","600.00"
"04/01/1990","Imports","North Dakota","Total","33120.0000","605006.9200","18.27"
"04/01/1990","Imports","Total","Alberta","202.0000","8864.4600","43.88"
"04/01/1990","Imports","Total","British Columbia","24.0000","884.1100","36.84"
"04/01/1990","Imports","Total","Manitoba","136359.0000","1792108.4000","13.14"
"04/01/1990","Imports","Total","New Brunswick","1861.6000","105771.8200","56.82"
"04/01/1990","Imports","Total","Ontario","1058970.1000","33771594.4400","31.89"
"04/01/1990","Imports","Total","Québec","272250.0000","10737072.2400","39.44"
"04/01/1990","Imports","Total","Saskatchewan","250.0000","150000.0000","600.00"
"04/01/1990","Imports","Total","Total","1469916.7000","46566295.4700","31.68"
"04/01/1990","Imports","Vermont","Québec","518.0000","24116.0100","46.56"
"04/01/1990","Imports","Vermont","Total","518.0000","24116.0100","46.56"
"04/01/1990","Imports","Washington","Alberta","202.0000","8864.4600","43.88"
"04/01/1990","Imports","Washington","British Columbia","17.0000","443.0000","26.06"
"04/01/1990","Imports","Washington","Total","219.0000","9307.4600","42.50"
"05/01/1990","Exports","British Columbia","Alaska","62.8800","3807.0000","60.54"
"05/01/1990","Exports","British Columbia","California","47544.0000","1102795.0000","23.20"
"05/01/1990","Exports","British Columbia","Idaho","20714.0000","380371.7900","18.36"
"05/01/1990","Exports","British Columbia","Montana","1508.0000","25036.8400","16.60"
"05/01/1990","Exports","British Columbia","Oregon","146668.0000","2773176.1100","18.91"
"05/01/1990","Exports","British Columbia","Total","223736.0800","4442240.1500","19.85"
"05/01/1990","Exports","British Columbia","Washington","7239.2000","157053.4100","21.69"
"05/01/1990","Exports","Manitoba","Minnesota","152417.5760","2747787.3300","14.37"
"05/01/1990","Exports","Manitoba","North Dakota","7148.0000","159225.3000","22.28"
"05/01/1990","Exports","Manitoba","Total","159565.5760","2907012.6300","14.72"
"05/01/1990","Exports","New Brunswick","Maine","240974.0000","8296233.4000","34.08"
"05/01/1990","Exports","New Brunswick","Massachusetts","168888.0000","10481779.0000","62.06"
"05/01/1990","Exports","New Brunswick","Total","409862.0000","18778012.4000","45.61"
"05/01/1990","Exports","Ontario","Michigan","112.9800","0.0000","0.00"
"05/01/1990","Exports","Ontario","New York","16257.7290","438963.0300","26.25"
"05/01/1990","Exports","Ontario","Total","25288.7090","1147358.9600","30.03"
"05/01/1990","Exports","Ontario","Vermont","8918.0000","708395.9300","37.28"
"05/01/1990","Exports","Québec","New York","242847.0000","7934877.0200","26.91"
"05/01/1990","Exports","Québec","Total","334890.0000","11595814.6000","29.41"
"05/01/1990","Exports","Québec","Vermont","92043.0000","3660937.5800","36.01"
"05/01/1990","Exports","Total","Alaska","62.8800","3807.0000","60.54"
"05/01/1990","Exports","Total","California","47544.0000","1102795.0000","23.20"
"05/01/1990","Exports","Total","Idaho","20714.0000","380371.7900","18.36"
"05/01/1990","Exports","Total","Maine","240974.0000","8296233.4000","34.08"
"05/01/1990","Exports","Total","Massachusetts","168888.0000","10481779.0000","62.06"
"05/01/1990","Exports","Total","Michigan","112.9800","0.0000","0.00"
"05/01/1990","Exports","Total","Minnesota","152417.5760","2747787.3300","14.37"
"05/01/1990","Exports","Total","Montana","1508.0000","25036.8400","16.60"
